GL_ID,date,year,month,S1_observations,VV_mean,VV_median,VV_stdDev,VH_mean,VH_median,VH_stdDev,angle_mean
GL083136E28666N,2015-01,2015,1,1,,,,,,,
GL083136E28666N,2015-02,2015,2,1,,,,,,,35.96853790984544
GL083136E28666N,2015-03,2015,3,2,-12.70615960944132,-12.966038901434738,1.9103157212722688,-19.38106241063724,-19.20346049313767,1.7070912845298722,36.276107815541536
GL083136E28666N,2015-04,2015,4,1,,,,,,,
GL083136E28666N,2015-05,2015,5,1,-13.279213232603642,-13.095532993745158,2.4571887165005792,-19.71420812923338,-19.311851908468583,1.5199851464583627,36.28047759624844
GL083136E28666N,2015-06,2015,6,0,,,,,,,
GL083136E28666N,2015-07,2015,7,0,,,,,,,
GL083136E28666N,2015-08,2015,8,0,,,,,,,
GL083136E28666N,2015-09,2015,9,0,,,,,,,
GL083136E28666N,2015-10,2015,10,3,,,,,,,
GL083136E28666N,2015-11,2015,11,1,-15.049139083372546,-15.987834022554326,2.6836549325318035,-24.39499854894756,-23.51370997951301,3.944880270816103,38.406184555637616
GL083136E28666N,2015-12,2015,12,0,,,,,,,
GL083136E28666N,2016-01,2016,1,0,,,,,,,
GL083136E28666N,2016-02,2016,2,0,,,,,,,
GL083136E28666N,2016-03,2016,3,0,,,,,,,
GL083136E28666N,2016-04,2016,4,0,,,,,,,
GL083136E28666N,2016-05,2016,5,0,,,,,,,
GL083136E28666N,2016-06,2016,6,0,,,,,,,
GL083136E28666N,2016-07,2016,7,0,,,,,,,
GL083136E28666N,2016-08,2016,8,0,,,,,,,
GL083136E28666N,2016-09,2016,9,0,,,,,,,
GL083136E28666N,2016-10,2016,10,6,-17.863173499234247,-18.13059660868065,4.605834687190424,-25.194699718310424,-24.42235990158097,3.713365882587413,36.86475842049853
GL083136E28666N,2016-11,2016,11,5,-17.831566592409303,-18.32610659715259,3.268173402054562,-25.057881147572413,-24.556280329382275,3.3321621951824767,36.86285668585617
GL083136E28666N,2016-12,2016,12,5,-17.49170840664776,-18.0736184772182,3.678777677115616,-25.23496680890901,-24.43527608231868,4.048441082337154,36.86318688782386
GL083136E28666N,2017-01,2017,1,5,-15.08991744232463,-15.22338778784439,2.280908156787357,-23.03728387125002,-22.84069555990754,2.361804361222794,36.865371662238566
GL083136E28666N,2017-02,2017,2,17,-14.391166268325769,-14.428604028948948,2.744760253671064,-22.415950117225165,-22.285128362207345,2.083076584589909,37.562840979513645
GL083136E28666N,2017-03,2017,3,17,-14.088391149708546,-13.80791954366586,1.4992586569427544,-22.94631542028845,-22.6596764456952,1.736806161855292,36.45049757717222
GL083136E28666N,2017-04,2017,4,19,-13.976421855367484,-14.194244187340235,1.5452706169047097,-24.026822262904968,-24.026364188188783,1.6477071952296127,38.490212669581865
GL083136E28666N,2017-05,2017,5,21,-16.166609263058376,-16.351616429356206,3.364876343606338,-24.94383629639155,-24.547649738541487,2.472630972099517,36.45073833314706
GL083136E28666N,2017-06,2017,6,15,-16.651831726495114,-17.434054784776166,3.4477903973328465,-24.007298214891147,-24.03424429253443,1.977732492779932,38.49062574097497
GL083136E28666N,2017-07,2017,7,19,-17.293151539858773,-17.84187542793113,4.337089988498962,-24.00192760477101,-23.905524760357483,2.0895782889219685,36.450103166887786
GL083136E28666N,2017-08,2017,8,19,-16.371882354997755,-17.248056326259235,3.482934225644001,-25.163581864399784,-25.256362095414925,2.44085490273566,38.49072727721763
GL083136E28666N,2017-09,2017,9,22,-16.775071325594627,-18.05430686021297,3.532993193807027,-24.774206943573365,-24.585255054856248,2.124640947549949,37.466211436539496
GL083136E28666N,2017-10,2017,10,20,-17.51274558753341,-18.01110483199062,3.3724589379461585,-24.926796237836133,-24.21224454625688,2.911632032757294,37.46869895297327
GL083136E28666N,2017-11,2017,11,20,-15.626998781563485,-15.984893183859468,2.141920649914156,-23.475003760911846,-23.8177066401389,1.947992702705112,37.46704357062674
GL083136E28666N,2017-12,2017,12,21,-15.336193057345277,-15.800079273385894,1.8643977766686952,-23.325460627690497,-23.27648010096596,1.740472861140616,36.44979074581854
GL083136E28666N,2018-01,2018,1,21,-12.347432936708133,-12.52195680513264,1.6159181406045082,-20.592522324801976,-20.946535723122885,2.1104147973558,38.48507549998376
